Customer ID,city,confidence,order_count,score_Delhi,score_Mumbai,score_Bangalore,score_Hyderabad,score_Pune,score_Kolkata
0071cedfbbec4b2329cf747540858cc1c8678bdc3bfa7cb0184819809bb8ec72,Hyderabad,1.0,1,-0.197,0.703,-0.477,0.773,-0.317,-0.302
0074a45176f83051003900f910d46dd1c12dc8973c9ef0909001bf1bbef031f2,Hyderabad,1.0,1,0.237,-0.663,1.157,1.207,0.117,-0.168
0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,Bangalore,1.0,5,-0.308,0.516,1.115,-0.639,-1.145,-0.56
0076a4110d5c9835d54879252b588859738886e02ef963deb5d6c2ec429efa66,Hyderabad,1.0,1,1.173,-0.627,-0.457,1.843,0.003,-0.282
008795a0df36218c5edafd177556fc4b9e799b9037ee04d01a182bad5c211247,Hyderabad,1.0,1,1.123,-0.677,-0.507,1.793,-0.047,-0.332
0092e77acf83f93e36255891191404b7313cd142af21085f9d8211964e4fa928,Mumbai,1.0,1,0.071,2.013,0.301,-0.249,-0.659,-0.074
00934774fcde9e500bcdc18ab24b176a96664c4d55ec728f40a07649a6f79d84,Pune,1.0,1,-1.133,-0.964,-0.494,-0.993,0.802,0.712
0093c3d9f4ce7e2e66720b1893efd670fc88607104ab04a571818550dbf975a7,Mumbai,1.0,1,0.348,2.277,0.812,-0.047,-0.207,0.378
00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239,Mumbai,1.0,1,0.44,1.645,0.31,1.05,0.342,0.395
00ab29271100c1f290fe2548720ecc7070d305e7f07d435ae2492cdb85c848da,Delhi,1.0,1,2.222,0.561,0.611,1.942,0.282,0.567
00b0a76e1dd61f54c4012b37e86b080d3b4d08311f547290ec7151a4ba3b7770,Kolkata,1.0,1,-0.191,-0.022,0.448,-0.148,1.192,1.433
00c75a1681297897363f5a4ea9986c64ada8ccb08f38002b4e35488625d884e4,Hyderabad,1.0,1,1.927,-0.353,-0.153,2.564,-0.406,-0.241
00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578,Delhi,1.0,4,1.932,0.146,0.265,1.899,0.346,0.331
00d045d71fd85a2a645278983da305a046301923777dac4c83de1695237a0366,Hyderabad,1.0,1,1.652,0.772,0.322,2.238,0.018,0.407
00d3ca94468f2d1fb506d8ecdccf18d71eb1922239a1902bdcf32a0607b753c3,Delhi,1.0,2,1.574,0.314,0.024,1.284,-0.676,-0.391
00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,Delhi,1.0,2,0.662,0.048,-0.727,0.345,-1.322,-0.887
00e32123885c53573c65d2426b10b19b17cbccf234dca23cc7a1a9a0ffbb5e4f,Mumbai,1.0,2,-0.091,1.334,0.154,0.654,0.146,0.011
00f319a1a9153e59e2d42992a551dcc6c912dfc32dd508e258be9031ba7ce380,Delhi,1.0,1,1.49,1.202,0.37,1.07,-0.54,0.095
0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961,Bangalore,1.0,6,-0.09,0.51,1.93,0.78,0.208,0.405
0106ca441d4c1b395a900b6c02c8090063e967059adc824709cb8830a03b9714,Kolkata,1.0,1,-0.212,0.077,0.427,-0.143,1.347,1.693
0107926cbe4063f039a9e5db4f814bd231a9004c536da982eed0126e94096228,Hyderabad,1.0,1,1.802,0.802,0.472,2.472,0.484,0.647
0118457fa0fa7922e31e0c3d56db94ec4e3a0d5620d8e37e30dc62b4df73e5c1,Mumbai,1.0,1,-0.935,0.734,-0.296,-0.795,-0.425,-0.44
011ce568a7667d505ec85d058beb76cdfdadfdc55dfa32ca382bd8b86e5223dd,Mumbai,1.0,3,0.53,2.144,0.369,0.302,-0.125,0.185
0124c703400c98ddc71ec039b625b3b7bb5d2a831efb9beae7ba73585691af5d,Bangalore,1.0,3,-0.216,-0.441,1.417,0.438,0.152,-0.058
0129e78658980e3fad287a8adb3258d4dc9d17fcdb0e9fae223922fa3068a35b,Hyderabad,1.0,1,1.104,0.693,0.543,1.184,-0.344,0.159
013135e30653501a3447d17a5ee194580bafa44d43b0830e57bd0ab28c865162,Kolkata,1.0,1,-0.696,0.054,-0.116,-1.016,0.374,0.709
013e45493ca3369fe873faad27d720094649751184294dfb52a254bffbd3a045,Hyderabad,1.0,2,1.632,0.702,0.402,2.142,0.016,0.287
015373a571a666688e5351aa0b9c885d17ee111f15b63ad9ecaaf8878c9c71f5,Mumbai,1.0,1,-1.555,0.095,-1.755,-1.875,-2.305,-1.99
01586c146e9adbf9f399fc0e20e64d4945d785980a04b6f679ab6d94e172238e,Delhi,1.0,4,1.589,0.285,-0.051,1.229,-0.601,-0.286
0162a729c8a1c95cf0b8d22dc85a56c964e8817ffefb9dd77ff82b8a928a3ac7,Pune,1.0,1,-0.875,-0.725,-0.255,-0.055,1.105,0.82
0166215d912c9c0d89116ead5d543e8e6b6435a521bba87b8e2011907888c38d,Hyderabad,1.0,2,1.171,0.228,0.066,1.856,0.061,0.226
016660c635e4b9cac6a3604d1a6c7eb7652cb15f0f48f426696b792e2e3287c9,Hyderabad,1.0,2,1.94,0.659,0.404,2.08,0.425,0.56
016d4d7a87bd725966335c9179659a86d27de289e08931c58b9eb3f1d9848882,Delhi,1.0,1,0.628,0.303,-0.479,0.308,-1.502,-0.879
0170711e853e76832892f81853f07564a9fb1d41d4cf5dc75e44d605fc3753b6,Hyderabad,1.0,2,1.365,0.71,0.41,2.05,0.03,0.195
0180f7437725a8e04c7a26c2418219d5c169d19ee025c045629605f6e76d675a,Hyderabad,1.0,1,1.584,-0.077,-0.027,2.014,0.054,0.039
01811c9aae029f47f16eb647ea7f9fa184319a77c06f4126818ac7558066dc71,Delhi,1.0,1,-0.032,-0.312,-0.892,-0.262,-1.802,-1.277
018123230ca51d32eaeb735ce3d5ed0749a1799b9d2ab847d45d13ebef37ef00,Delhi,1.0,4,1.957,1.262,0.549,1.637,-0.211,0.374
018e6dd7c546a44f91c86fab94ee919c03ff4486d8ea77b1f171d032744a79c6,Mumbai,1.0,2,0.314,1.634,0.184,0.924,0.275,0.269
0195bd8dbf5f9c84a74f7a7e743eb886a282a8c906d157203913078f3c5e02c5,Mumbai,1.0,1,0.324,1.644,0.194,0.934,0.294,0.279
019884b17a1023ac33ae8650a4978589913ced69d9b6e857b1dce80c4565fb2d,Mumbai,1.0,1,-0.484,0.716,-0.614,0.186,-0.154,-0.439
01999ebb8bde3920972d1893864251a0c935cfbc9dcec720442a14600178548d,Bangalore,1.0,1,-1.29,-1.14,0.83,-0.47,-0.66,-0.795
01a12119ae490238adcd08ddcb8ec575f1e52f7a5e32092daca1dac146cc2a1a,Hyderabad,1.0,4,1.975,0.023,0.236,2.176,0.475,0.392
01addfa2a3daee7c98ee314b836a9ddb987ce281cdad404541dc39cf255f83c3,Hyderabad,1.0,1,1.574,-0.226,-0.056,2.244,0.404,0.119
01b3110a11f2db22861c9dd0b5b93b2ccbf60b9efb18cd35ef37826623d23bd7,Pune,1.0,1,-1.467,-1.317,-0.847,-0.647,0.513,0.228
01b7dbdf238ea2178614f2db9bee5f82cb37ed02fd09f6533d0718a8a62d20c1,Kolkata,1.0,1,-0.108,0.061,0.531,-0.249,1.346,1.556
01b8b46f292a52e12264a0c5a0d8c2ba74097bde1bb24701c320517d2e193560,Hyderabad,1.0,1,1.776,0.176,-0.004,2.746,0.141,0.171
01beb704bf9a3f0297bcb51a4a9fbd30de357ea4077f0836ed1d9ce0981209cf,Pune,1.0,1,-0.304,-1.204,-0.884,0.666,1.076,0.791
01d4eaf812ee1bfc1b592bf7f3553c317f87eab2ea9de5a01de8e72bd7441025,Hyderabad,1.0,1,1.123,-0.677,-0.507,1.793,-0.047,-0.332
01d9f85ae4f9d8d5e1107b9cefb5d247abd3d5432ae5edfa820ca3326ab1af90,Hyderabad,1.0,1,1.629,1.049,0.199,1.839,-0.381,0.084
01dad68e8ecbd0d6a89a9cee7483390f84103f03cf69a4116cf9bb441bcb4c9f,Delhi,1.0,2,2.282,0.021,0.221,2.245,-0.165,0.12
01db133d14c0a6dc54c95f667a8a22f1251c20c638d2d0f8f46714235a242b0e,Kolkata,1.0,1,0.218,0.282,-0.012,0.428,1.208,1.373
01dd2b87b27e720458734d14a09c13037c026bd4ee8ad4e3e46ef02639642258,Hyderabad,1.0,1,1.219,-1.181,-0.861,2.189,-0.401,-0.686
01dd65c391d40a4f2ac8eca9592c629588a3893f3630a4d3da06301854dec055,Hyderabad,1.0,2,1.099,0.581,0.519,1.726,-0.494,-0.029
01ef393151c4b8196ce158f41339db967df4e631d3538d5e6601b21716365403,Hyderabad,1.0,3,1.728,-0.012,0.308,2.118,0.217,0.243
01f96e192b13dfa7ba042246d30bd87f83fd43437bae8326a40085cc318f00fb,Mumbai,1.0,1,-0.07,1.13,-0.2,0.6,0.26,-0.025
02024582ce197add20ec125fa577548ff1d816a83d64189de355d91ec9f39c97,Delhi,1.0,1,1.294,0.383,0.333,0.974,-0.536,-0.101
0208ce88bb99d1b3bb99a63a506bc0fbf08715e383e14707e3576e8b09902aa7,Mumbai,1.0,3,0.009,2.072,0.439,-0.174,-0.411,-0.036
0208e406ecc175581021b4089d4d1a205b706d3e242eadb9a13fbededa16ea34,Hyderabad,1.0,1,1.851,-0.429,-0.229,2.639,-0.331,-0.166
020b811c66c4b17d5fbb65c9e63e7fb2b6df39fd46c400d1f08a221e06c56732,Hyderabad,1.0,1,-0.388,-1.288,0.532,0.582,-0.508,-0.793
020f558878ff365e28715481fd6ba44a4636901a7eb746833cc156d96a62a7f6,Mumbai,1.0,1,0.092,1.356,0.131,0.078,-0.457,-0.172
0211453fb0f6c1fcc90d2d6aa9480cb3670d5b3cd75958ed4a1b25308ba7e18c,Hyderabad,1.0,2,2.023,0.223,0.393,2.693,0.524,0.568
0211d7d01984db17391a32370642041c172bc79218a0130466babcfcc87cc880,Hyderabad,1.0,1,1.568,-0.232,-0.062,2.238,0.398,0.113
0224ba339340138e5665517453962a772b4ff86dc7ed5aea2dbca7c3daa1169c,Mumbai,1.0,1,0.463,2.042,0.252,-0.007,-0.167,0.118
0229e3fe66988158c07eb1ae46abf3dfc1cf55015e0b87df5b9ae9b448252546,Mumbai,1.0,1,-1.339,0.311,-0.719,-0.519,-0.859,-1.144
023b2a82553f8dbfeb5b521c92eeefbda30b6d14e0c6e4d37a611231fb289fc0,Hyderabad,1.0,2,0.87,-0.93,-0.76,1.54,-0.3,-0.585
0249452b0f39e83be33a78f817f811a5a6aab8c86df01bc2beb9021386043f0a,Hyderabad,1.0,1,1.798,0.798,0.468,2.468,0.489,0.643
024dd68445af51d5d82fbd029a6b66f1146ca6ddc6d704b4d93a7bc112fae41e,Delhi,1.0,1,0.6,-0.375,-0.695,0.205,-1.417,-1.095
025163c654622e12a297fe358eacabdc851dd9ef3eedb1b1bad1d8a834a369c9,Hyderabad,1.0,3,1.442,-0.35,-0.338,1.998,0.107,-0.065
02539fdd4b8189364dec34fb30db5330caad1a8d68ae85a44d5690d8c553d909,Delhi,1.0,2,1.739,1.179,0.911,1.401,-0.221,0.401
025904185d5c917cf011e0d22ae23f65fcbb05177a6264fdf1ebd99b4dfc0031,Mumbai,1.0,1,-0.511,0.914,-0.431,-0.364,-0.899,-0.706
025d8e34dc39f385c0bb2706fb72bda3e43b21f4236a3967d2eefb3da691a424,Bangalore,1.0,1,0.135,-0.026,1.524,0.565,0.105,0.09
025e4d4b57ab0732f25089dfe1bc396317710b531079c7945e1d205a1f242a57,Hyderabad,1.0,1,0.61,-0.62,-0.27,1.37,-0.65,-0.785
0262581f598f58bc6275f7df2ba81546387e99a2ed24dcc1c5b71fd1dee7f85d,Hyderabad,1.0,1,1.834,-0.427,-0.227,2.064,-0.146,-0.161
0262846ad6d34cb9e39095fccca3508abbfc30978ec288c5b98381398273635f,Mumbai,1.0,1,0.496,1.996,0.666,1.011,0.291,0.756
0263ad6cee1d738934904fd04d5dba0289678e12abd48a46fcc033999ef2e16b,Hyderabad,1.0,3,1.768,-0.182,0.025,2.332,0.291,0.156
02696c06d1ea0a0f897d8fd54217835337d33c8dad76a3ef30b63a324e27d4a2,Hyderabad,1.0,2,0.033,-1.317,-0.847,0.853,-0.987,-1.272
0274d25c8cad145248d93169c477d9ce4da376431c149499d46e5eb9f3f9c856,Mumbai,1.0,1,0.21,1.549,-0.226,-0.11,-0.645,-0.36
02782daa593b198887d5dac4c2c0464e10087ff68659fa9f2131995dae8fb8bc,Hyderabad,1.0,1,1.341,-0.339,-0.289,1.951,-0.069,-0.204
0292131ccd9006e9c7aea04d414f49a649e2e180429ab88f28362ebb32f8feda,Mumbai,1.0,1,0.479,1.818,0.368,0.217,0.057,0.342
02951bcc81b55297c4afe1487633734bdd05a50bb25fa33c60f55e4eae171c5c,Hyderabad,1.0,1,-0.227,-1.127,0.693,0.743,-0.347,-0.632
029bf7944b46fa4a1e608f7d5d7bce16ac9ec8d93b779d8333b4b50946c91bd2,Delhi,1.0,2,1.638,1.417,0.718,1.258,-0.312,0.363
02a5bbfd90effca552a772b31add5efeff9d9bfe961f9ad8a6cade4864f29790,Hyderabad,1.0,1,1.475,0.039,0.239,1.48,0.095,0.155
02b15033a9d400acd88f0d2be6c0ce6f2f56f723f8f2df02208ae1749093ad3a,Kolkata,1.0,1,0.199,0.263,0.463,-0.029,1.386,1.746
02b47a5845b3a82bb90adeb9e05542f1230cc2fbfd6f63f6813904a2f4624305,Hyderabad,1.0,5,0.801,-0.624,-0.204,1.496,-0.144,-0.329
02b57794cda902728202cbf94ea09b7b1fad3a2cdb405792dde4274a2efe9c31,Delhi,1.0,4,1.83,0.346,0.326,1.548,-0.393,-0.108
02b710296957ae6243953454ea20f38027fc1879169e3972451080306f04f94f,Bangalore,1.0,1,-0.3,-0.881,0.864,-0.16,-0.315,-0.48
02bb84dad357f1ddfca609abbe748c26c51b2a82e48520f16670dc5b3e83897d,Delhi,1.0,6,1.598,1.106,0.378,1.291,-0.431,0.143
02c6e653a2d9f4e32bcd668da8bb5ab48d2aad3b60fc9c9e312f9e927022f227,Hyderabad,1.0,8,2.038,1.033,0.683,2.294,0.147,0.693
02d70ee42176afe11b0570ca32254b3f150ee194d2d554d8f4ccff61261385fd,Delhi,1.0,1,1.291,-0.565,-0.17,1.235,-0.545,-0.335
02df87aba63191e0d0312856200009166963d0b113823bf7cf19015344da1636,Kolkata,1.0,1,0.168,0.788,0.338,0.722,1.502,1.923
02e24456d36aa1a1a48e372fe022ff76b52dc8bf2b7a744b12a1dfeae4c3db7f,Delhi,1.0,1,0.985,0.81,-0.01,0.59,-1.033,-0.41
02eb8f056e53c46120a6006ffe32663408a731a170976364054090916a915bc4,Hyderabad,1.0,3,1.926,0.806,0.416,2.298,0.235,0.501
02f2352424a3726b5702ddd5d865a0e3cebf5119c7b4f94f337514ae7fb8bde8,Mumbai,1.0,1,-0.211,1.289,-0.041,0.459,0.119,0.134
02f95d7074440f0402714ff799a287e59c87579aafec2a580367285698c6986c,Mumbai,1.0,1,-0.356,1.313,0.283,-0.216,-0.196,-0.161
02fc463ab4e0b22b6438d759e50583a13cc1c9039fa1d8eb3dcd7e5072238cb2,Hyderabad,1.0,2,1.278,-0.302,-0.002,1.838,-0.182,-0.317
030a3cacb31f346eb2ff52d3479e11d6a9ddb321c9cd25b0f8c191c3a9305d58,Delhi,1.0,1,1.285,0.149,-0.051,0.89,-0.77,-0.485
030cfd98f80f2254e283e69cb8b88f1d3fde780cff6666838fbf43731cf46465,Hyderabad,1.0,1,1.668,-0.012,0.038,2.222,0.002,0.123
0318826f12b937dfe764449fbbbfa73b0332978d0ce9ac5302ed55849534a057,Mumbai,1.0,1,-0.114,1.855,0.825,0.022,-0.01,0.531
031bb8c564ee276f6ebd3dbb9ae20d4fcee026e53f0faebd89d29f6d59159fbf,Hyderabad,1.0,2,1.562,0.14,0.432,1.978,0.058,0.217
032502a9d98aada4b5267388194259f04992935d4183fb97245bfd6fc62fb57a,Delhi,1.0,1,0.842,-0.201,-0.078,0.582,-0.823,-0.613
032cb48861f06d03e73c44d804c1e024a7fae463c3716e6c3eab53e746f34e82,Hyderabad,1.0,3,2.295,0.024,0.305,2.672,0.211,0.376
033553972fcedd81eccffce304a463c6e77b1c02427c07ed1c2d27c6c50b3651,Kolkata,1.0,1,0.446,0.465,0.235,0.036,1.556,1.691
0335d197fd285fb31e3717dd6e1c46145f366d896efd46e63b8817cd6038a4e5,Hyderabad,1.0,1,1.668,-0.012,0.038,2.222,0.002,0.123
033dd07fb46ff02ad85684cd78644bc4706cbb16fbc205dd3ad70695d610a8aa,Hyderabad,1.0,3,1.784,0.044,0.274,1.998,-0.134,0.061
034832d4b7d011459fc4b35648bc82fe163e9c40d7ff4309502827a569951b1a,Delhi,1.0,1,1.182,-0.599,-0.429,1.172,-0.108,-0.273
034cc78c08c64286402d8a01098590fd83aa2fea6e604943e4b927e805676ebb,Kolkata,1.0,1,-0.595,0.149,-0.031,-0.53,1.265,1.475
034f886338b41544d97c7da2ccd90e206350ed8b8d211bd0f8f00c6ccf95e5d4,Mumbai,1.0,2,-0.332,0.868,-0.462,0.338,-0.002,-0.287
035431016f9953bcab9c01d49c1e62a4ea7558d789f6327ddb69ae4d87f474c0,Mumbai,1.0,1,0.562,2.393,0.651,0.592,-0.068,0.517
035724caf6166e7449696b206db51f34069dcbe8d37313e07fa8f64cd9991a51,Mumbai,1.0,1,-0.874,0.915,-0.235,-0.294,-0.754,-0.769
036d7b085b58dd4adbcc15d47409a449ff834b1db8b9e96d8cecf878308081be,Hyderabad,1.0,1,-0.106,0.494,-0.686,0.864,-0.226,-0.511
037495bff86cc317e80a275fb81474abdbb1622b7191db9b9afd569c9bd70618,Mumbai,1.0,1,-0.161,1.039,-0.291,0.509,0.169,-0.116
03783d263bad575a2372496d582ed690c4a38555807eebac4b199f27ddd76468,Hyderabad,1.0,2,1.858,0.547,0.21,2.013,-0.01,0.275
03822e67c8e143e3f7b2e8cced4064f399fa5e600c4a5e5c979b1484988febde,Hyderabad,1.0,1,1.123,-0.677,-0.507,1.793,-0.047,-0.332
0384f2e50633de90d765f5a05a7ef3ac51f0039ac4eea8b8755ca145612e5266,Mumbai,1.0,1,-0.341,1.309,0.279,0.479,0.166,0.154
038709334554f03032ca6306dcc887c78d6406309f27bcb52a64c674e78fa38f,Hyderabad,1.0,3,1.223,0.793,0.643,1.983,-0.023,0.428
03878b0de0c1c89640fdbc7223fb6f0b06b3fd5cec355e1254e1288d93064d7b,Hyderabad,1.0,1,1.227,-0.09,0.256,1.596,-0.624,-0.459
03889a5910f8e7f5d49025dc66a13106b2a05517b09b513622a4c6aad487f5fb,Hyderabad,1.0,1,1.773,-0.027,0.143,2.443,0.512,0.318
0395a7700081be0231139dbbad444198102efdbeafc5858e046702fbe3d42b1c,Hyderabad,1.0,1,1.999,0.399,0.219,2.969,0.137,0.394
03b12e8e86940ed50f5e53e928dbf907874d4fd2957bc9e4669fc80db51c1923,Kolkata,1.0,1,-0.103,-0.203,-0.383,0.867,1.277,1.292
03b2c97471b94ec813c5a374901abda110ddc5b98d16f3d8e29588ed75aeb592,Hyderabad,1.0,1,1.393,0.832,-0.018,1.423,-0.737,-0.152
03c5d5e38f427369ce86c6657db28f4df3b6b1779755f08dd30a77019a09fdad,Delhi,1.0,1,1.847,0.141,0.127,1.627,-0.533,-0.248
03d5d4e985ed73473cd0211ff2e21fc6f83577c94326a3e2e648f91f8bf6a482,Delhi,1.0,1,1.63,1.423,0.635,1.235,-0.35,0.31
03d98db84f0c46d132476c549ae07e4083d43a0063e45244366ee37703a58a2b,Hyderabad,1.0,1,1.341,-0.339,-0.289,1.951,-0.069,-0.204
03d9d25a074d7ce2361baaa6dffb68c49ac9b6cfbdb95b3b3d358c251a27a496,Pune,1.0,1,-0.41,-0.691,-0.521,-0.42,1.3,1.135
03da70567d6cfe84ef87a836079d4de9e6ee4c2813d99dfd9555d297b97be6e0,Delhi,1.0,5,-0.118,-1.115,-1.391,-0.482,-2.125,-1.804
03dcb5fee83aa409bad5724b2a11dcccc1eea650e2c55f8a492e4bad2c997c5a,Bangalore,1.0,1,-0.026,-0.006,1.194,0.884,-0.386,-0.221
03e0b163c314a2af76b37b4241e815ae3025bc7fe7aa7a1916350160ddbe9eb0,Mumbai,1.0,1,-0.078,1.872,0.002,-0.498,-0.608,-0.273
03e7460f5535ad44a155593ad3d001f0cec04e9bd13ae3201f1a63ad6545f6ad,Hyderabad,1.0,1,1.265,-0.535,-0.365,1.935,0.095,-0.19
03f41549f3aea9d0027e85253ed7d6c01279e7dbd8068c53dc01f803a54e36cf,Pune,1.0,1,-0.201,-0.257,0.063,-0.136,1.584,1.419
0404fc8886c35f9346e4d58ee6d81e0e5e6dec8d89b3a302c9760e8e19198070,Mumbai,1.0,3,-0.112,1.752,0.052,-0.507,-0.642,-0.332
04062455a01d26b69c48fff955f020f9fbe18caa295e70bb719437ce93c377f8,Mumbai,1.0,4,0.617,2.12,0.83,0.914,0.272,0.745
0407bbfb8448eddd3c3bc005d17d2f4d0affa2923ef7a739c3653109cb03ab6c,Hyderabad,1.0,1,0.631,0.081,0.051,1.451,-0.389,-0.374
041087dfb96d6042cbf453bebd894b17fba6c290368887123b1845c90f11e492,Delhi,1.0,1,2.058,0.397,0.447,1.988,0.338,0.513
0410a267f30536f46df2717985a2f90edc7a6ae414527de2755308a11bd1e17c,Hyderabad,1.0,1,1.148,-0.513,-0.043,1.398,-0.312,-0.027
0411800b4f75fb1d501b9087841a170b36402136eb0050cf27a5887d752d3510,Bangalore,1.0,1,0.025,0.925,1.505,-0.345,-0.755,-0.17
0414cb5abf526098e5ff74db777c70ed085d8f25e3aafa38284f8556261cff6a,Kolkata,1.0,1,-3.094,-2.764,-2.994,-3.354,-2.314,-2.029
04237dfa1348de078d43863ad8a93eef901c30ce737c4a41e65adac22d87d126,Mumbai,1.0,1,0.652,1.871,0.541,0.638,0.499,0.663
0432e8198754fd2d269e0a32fb49c51f43f986c05308c099d33d4cb68dfe25a8,Mumbai,1.0,1,-0.734,0.916,-0.114,0.086,-0.291,-0.539
043be5d3fcfb5014f3fc6aa62cc3c1acb33a698dece8e33aa7c3ccf1d5330208,Pune,1.0,1,-1.132,-0.982,-0.512,-0.312,0.998,0.863
043fe7e0f66fc50f5063282e6db52111d482ee7e78ed0ccfd05bcb4f73770cf4,Delhi,1.0,4,1.813,1.333,0.627,1.51,-0.367,0.252
0442a91616d43d460c946232963ef4d09441f293213e362c4776007a8a28cf9a,Hyderabad,1.0,2,1.217,-0.538,-0.263,2.052,-0.268,-0.328
04525c54b6ee6424235bfdbb5bae65aab9846f293c70fd1f90d0727ca32250df,Kolkata,1.0,1,0.666,-0.215,0.105,0.936,1.706,1.761
045515fbedd95d3ab566821c4e63dff848214d2da2dfc28b26c3f8c9664a9773,Mumbai,1.0,1,-0.707,1.382,-0.168,-1.027,-1.037,-0.602
045a1e476aaab06e47abf2b3ab104c36b64cf0954c7e05d6b97667826e0d03ff,Hyderabad,1.0,1,1.329,-0.021,0.449,2.106,0.057,0.251
045ee7ff707e339c00876df349e7a58a622653c84267138b008bdd551130aca1,Mumbai,1.0,1,0.432,2.176,0.996,0.354,0.269,0.929
045f9714007f673604b3d9277bd1c6f9df01a359ee0831f89158e205d21b93a5,Hyderabad,1.0,1,1.162,-0.188,0.282,1.982,0.209,0.157
046557f688c84da5410196fa640819d46f42f0a31ad6b8b59982988b226ade7a,Hyderabad,1.0,2,1.423,-0.977,-0.657,2.393,-0.197,-0.482
04684afd1294184cf9616aacf84c111ffbfc3663222a6938e7c5da4843aca182,Delhi,1.0,2,1.621,0.151,0.321,1.543,-0.357,-0.012
046bc2ae014a439f89ca3574623f18fb867dba57d83b988a02d7e5e8f4711360,Hyderabad,1.0,1,1.173,-0.627,-0.457,1.843,0.003,-0.282
046c17f8eb324e2bcb3dec59463ca7d2d86739c1ddaa1c464fb2df80c9e6e232,Delhi,1.0,1,1.803,0.176,0.242,1.558,-0.402,-0.042
047a5d7afebdabf9391c937c8772a9d92d61c4e4f9c724f611c61dc22a782c53,Mumbai,1.0,1,-1.467,0.183,-0.847,-0.647,-0.987,-1.272
047cc099f2d8b3f965a4d15aced78d56141d8d8525291de9ef3e1564ad84f31b,Hyderabad,1.0,1,0.786,-0.564,-0.094,1.606,-0.258,-0.519
